,Team,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,FTM/A,OFF,DEF,TOT,AVG
2024,Mens,at UConn,11/06/23,52-95,L,20-59,.563,3-15,9-16,9,18,27,27.0
2024,Mens,at Grand Canyon,11/12/23,55-89,L,22-56,.545,5-18,6-11,5,19,24,25.5
2024,Mens,at Seattle U,11/15/23,62-60,W,25-59,.615,4-23,8-13,6,26,32,27.7
2024,Mens,vs Purdue Fort Wayne,11/17/23,67-77,L,27-59,.500,8-28,5-10,7,29,36,29.8
2024,Mens,vs VMI,11/18/23,78-69,W,28-60,.593,6-23,16-27,9,22,31,30.0
2024,Mens,at Hawaii,11/21/23,61-70,L,23-55,.500,6-17,9-18,10,24,34,30.7
2024,Mens,at UC Santa Barbara,11/29/23,59-70,L,22-57,.727,7-26,8-11,4,22,26,30.0
2024,Mens,vs Pacific,12/02/23,78-58,W,29-56,.615,12-23,8-13,10,25,35,30.6
2024,Mens,at Abilene Christian,12/06/23,78-76,W,28-57,.800,6-18,16-20,12,32,44,32.1
2024,Mens,at UIW,12/09/23,76-75,W,28-59,.846,9-24,11-13,4,21,25,31.4
2024,Mens,vs Southern Utah,12/16/23,76-74,W,32-60,.364,8-19,4-11,5,28,33,31.5
2024,Mens,at San Francisco,12/20/23,51-91,L,16-50,.667,7-22,12-18,6,12,18,30.4
2024,Mens,at Northern Colo.,12/30/23,77-92,L,27-57,.800,11-28,12-15,6,16,22,29.8
2024,Mens,at Omaha,01/03/24,55-81,L,18-50,.609,5-19,14-23,9,16,25,29.4
2024,Mens,vs North Dakota,01/06/24,74-73,W,24-56,.773,9-19,17-22,11,28,39,30.1
2024,Mens,at Montana St.,01/11/24,50-79,L,15-51,.842,4-24,16-19,6,18,24,29.7
2024,Mens,at Montana,01/13/24,47-90,L,20-54,.500,1-12,6-12,12,18,30,29.7
2024,Mens,vs Portland St.,01/18/24,84-65,W,30-71,.643,6-21,18-28,16,30,46,30.6
2024,Mens,vs Sacramento St.,01/20/24,70-61,W,22-59,.833,6-23,20-24,10,31,41,31.2
2024,Mens,at Idaho,01/25/24,75-60,W,30-54,.727,7-17,8-11,4,26,30,31.1
2024,Mens,at Eastern Wash.,01/27/24,70-85,L,25-59,.778,6-27,14-18,9,14,23,30.7
2024,Mens,vs Weber St.,02/01/24,70-72,L,24-50,.696,6-17,16-23,6,23,29,30.6
2024,Mens,vs Idaho St.,02/03/24,79-81,L,26-56,.759,5-13,22-29,8,19,27,30.5
2024,Mens,vs Montana,02/08/24,66-94,L,24-53,.737,4-13,14-19,3,21,24,30.2
2024,Mens,vs Montana St.,02/10/24,76-71,W,29-57,.667,6-16,12-18,6,35,41,30.6
2024,Mens,at Sacramento St.,02/15/24,73-58,W,27-54,.667,13-26,6-9,9,16,25,30.4
2024,Mens,at Portland St.,02/17/24,68-83,L,28-56,.533,4-20,8-15,6,23,29,30.4
2024,Mens,vs Eastern Wash.,02/22/24,78-71,W,27-55,.895,7-17,17-19,12,25,37,30.6
2024,Mens,vs Idaho,02/24/24,76-86,L,24-62,.893,3-21,25-28,11,23,34,30.7
2024,Mens,at Idaho St.,02/29/24,92-88,W (2 OT),34-75,.708,7-20,17-24,16,22,38,31.0
2024,Mens,at Weber St.,03/02/24,58-85,L,17-54,.690,4-14,20-29,14,27,41,31.3
2024,Mens,vs Northern Colo.,03/04/24,74-82,L,29-60,.769,6-23,10-13,8,23,31,31.3
2023,Mens,at Michigan St.,11/07/22,55-73,L,19-60,.692,8-30,9-13,12,25,37,37.0
2023,Mens,vs Benedictine Mesa,11/10/22,105-49,W,39-76,.714,12-29,15-21,17,39,56,46.5
2023,Mens,at Arizona St.,11/10/22,68-84,L,24-57,.722,7-28,13-18,6,17,23,38.7
2023,Mens,at Utah Valley,11/12/22,69-73,L,25-67,.800,11-28,8-10,16,25,41,39.3
2023,Mens,vs UC Santa Barbara,11/18/22,63-54,W,24-58,.750,6-22,9-12,7,27,34,38.2
2023,Mens,vs Texas,11/21/22,48-73,L,17-54,.733,3-17,11-15,12,25,37,38.0
2023,Mens,at UTRGV,11/22/22,79-91,L,28-62,.846,12-31,11-13,11,20,31,37.0
2023,Mens,vs Abilene Christian,11/27/22,82-92,L,28-58,.727,10-22,16-22,10,22,32,36.4
2023,Mens,vs Ottawa (AZ),11/29/22,82-51,W,30-72,.571,14-32,8-14,19,33,52,38.1
2023,Mens,at Pepperdine,12/03/22,69-88,L,24-61,.667,7-23,14-21,13,25,38,38.1
2023,Mens,at Pacific,12/06/22,73-69,W,25-57,.762,7-19,16-21,10,22,32,37.5
2023,Mens,vs Utah Valley,12/10/22,75-80,L (OT),30-70,.615,7-24,8-13,8,21,29,36.8
2023,Mens,at Southern Utah,12/17/22,101-106,L (OT),39-81,.619,10-32,13-21,17,26,43,37.3
2023,Mens,at Idaho St.,12/29/22,53-79,L,20-52,.556,3-14,10-18,3,20,23,36.3
2023,Mens,at Weber St.,12/31/22,60-76,L,23-54,.714,9-20,5-7,7,19,26,35.6
2023,Mens,vs Montana,01/05/23,75-74,W (OT),25-51,.826,6-17,19-23,5,30,35,35.6
2023,Mens,vs Montana St.,01/07/23,54-69,L,13-49,.857,4-14,24-28,4,23,27,35.1
2023,Mens,at Portland St.,01/12/23,74-75,L,23-54,.667,8-17,20-30,13,32,45,35.6
2023,Mens,at Sacramento St.,01/14/23,56-59,L,19-55,.875,4-15,14-16,10,21,31,35.4
2023,Mens,vs Idaho,01/19/23,83-88,L,32-69,.800,11-32,8-10,11,20,31,35.2
2023,Mens,vs Eastern Wash.,01/21/23,76-79,L,24-63,.667,14-31,14-21,12,24,36,35.2
2023,Mens,vs Northern Colo.,01/28/23,83-73,W,27-53,.808,8-22,21-26,2,29,31,35.0
2023,Mens,at Montana St.,02/02/23,68-69,L,24-56,.833,10-17,10-12,14,22,36,35.0
2023,Mens,at Montana,02/04/23,66-67,L,30-62,1.000,3-16,3-3,10,25,35,35.0
2023,Mens,vs Idaho St.,02/06/23,70-75,L,28-59,.750,8-18,6-8,9,27,36,35.1
2023,Mens,vs Sacramento St.,02/09/23,77-55,W,28-59,.857,15-27,6-7,8,25,33,35.0
2023,Mens,vs Portland St.,02/11/23,87-88,L,30-64,.800,3-14,24-30,15,25,40,35.2
2023,Mens,at Eastern Wash.,02/16/23,55-72,L,24-63,1.000,5-26,2-2,5,18,23,34.8
2023,Mens,at Idaho,02/18/23,72-50,W,30-57,.750,9-19,3-4,5,30,35,34.8
2023,Mens,at Northern Colo.,02/25/23,85-82,W,30-56,.667,9-20,16-24,6,20,26,34.5
2023,Mens,vs Weber St.,02/27/23,89-90,L (OT),32-77,.550,14-40,11-20,21,22,43,34.7
2023,Mens,vs Idaho,03/04/23,87-76,W,28-55,.818,13-29,18-22,5,23,28,34.5
2023,Mens,at Eastern Wash.,03/05/23,81-80,W,33-67,.625,10-28,5-8,10,19,29,34.4
2023,Mens,at Montana,03/07/23,83-71,W,29-58,.850,8-21,17-20,9,19,28,34.2
2023,Mens,at Montana St.,03/08/23,78-85,L,26-57,.826,7-21,19-23,12,15,27,34.0
2022,Mens,at Arizona,11/09/21,52-81,L,19-53,.529,5-16,9-17,12,30,42,42.0
2022,Mens,at Washington,11/11/21,62-73,L,20-54,.750,4-12,18-24,11,31,42,42.0
2022,Mens,vs Benedictine Mesa,11/15/21,97-48,W,35-71,.867,14-26,13-15,8,36,44,42.7
2022,Mens,vs CSU Bakersfield,11/18/21,74-64,W,23-47,.633,9-22,19-30,8,31,39,41.8
2022,Mens,at UTRGV,11/20/21,89-87,W,32-65,.680,8-27,17-25,11,27,38,41.0
2022,Mens,vs UTRGV,11/22/21,80-82,L,26-61,.789,13-40,15-19,13,20,33,39.7
2022,Mens,vs Cal St. Fullerton,11/24/21,56-73,L,17-47,.708,5-21,17-24,10,21,31,38.4
2022,Mens,at Weber St.,12/02/21,44-67,L,16-48,.533,4-15,8-15,9,34,43,39.0
