,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2024,Mens,24,"McLaughlin, Trent",32,34.8,.402,.329,.769,0.4,2.8,3.2,2.0,1.4,0.2,16.7
2024,Mens,07,"Basham, Carson",32,24.3,.585,.000,.570,1.8,4.8,6.6,1.2,0.7,1.6,12.3
2024,Mens,04,"Fort, Oakland",32,30.5,.374,.308,.797,0.5,3.2,3.7,3.0,0.8,0.2,10.2
2024,Mens,03,"Jackson, Jayden",32,29.2,.502,.212,.752,1.6,2.7,4.3,2.0,0.8,0.2,10.0
2024,Mens,32,"Lloyd, Liam",30,29.3,.351,.273,.550,0.9,3.4,4.3,3.4,0.8,0.2,6.3
2024,Mens,12,"Campisano, Diego",32,18.5,.490,.421,.864,0.7,1.7,2.4,0.5,0.4,0.0,6.2
2024,Mens,13,"Reynolds, Rockwell",28,8.7,.554,.000,.577,0.5,1.2,1.7,0.3,0.1,0.3,2.8
2024,Mens,00,"Ford, C.J.",31,13.1,.300,.310,.591,0.2,0.6,0.8,1.0,0.3,0.1,2.1
2024,Mens,10,"Wistrcill, Jack",1,13.0,.000,.000,1.000,0.0,1.0,1.0,1.0,0.0,0.0,2.0
2024,Mens,01,"Madi, Arman",19,7.7,.455,.538,.900,0.4,0.3,0.7,0.4,0.1,0.1,1.9
2024,Mens,23,"Kai, Isaiah",17,6.9,.353,.000,1.000,0.1,0.4,0.5,0.4,0.2,0.1,1.1
2024,Mens,11,"Abelman, Ryan",26,7.2,.222,.154,.833,0.3,0.8,1.1,0.3,0.3,0.2,1.0
2024,Mens,06,"Musaka, Tichyque",19,3.3,.500,.500,.000,0.3,0.5,0.8,0.0,0.1,0.2,1.0
2023,Mens,15,"Cone, Jalen",33,33.2,.424,.400,.862,0.5,2.3,2.8,2.5,0.8,0.0,17.6
2023,Mens,02,"Fuller, Xavier",35,30.7,.437,.319,.843,1.4,2.9,4.3,1.2,1.0,0.3,13.0
