,Team Stats ,Team,Total Points,Points Per Game,Scoring Margin,FG: Made-Attempted,FG: Percentage,FG: Per Game,3PT: Made-Attempted,3PT: Percentage,3PT: Per Game,FT: Made-Attempted,FT: Percentage,FT: Per Game,Total,Per Game,Assist/Turnover Ratio,Points Off Turnovers,Head Coach,Head Coach (Interim),Head Men's Basketball Coach
2024,"14-17, 7-10",Mens,2131,68.7,-8.0,771-1770,.436,24.9,195-623,.313,6.3,394-566,.696,12.7,6192,11-563,1.1,11.8,Shane Burcar,,
2024,"14-17, 7-10",Mens,2131,68.7,-8.0,771-1770,.436,24.9,195-623,.313,6.3,394-566,.696,12.7,6192,11-563,1.1,11.8,Loree Payne,,
2023,"12-23, 5-13",Mens,2581,73.7,-1.0,930-2123,.438,26.6,295-815,.362,8.4,426-576,.740,12.2,10368,14-741,1.3,11.6,Shane Burcar,,
2023,"12-23, 5-13",Mens,2581,73.7,-1.0,930-2123,.438,26.6,295-815,.362,8.4,426-576,.740,12.2,10368,14-741,1.3,11.6,Loree Payne,,
2022,"9-23, 5-15",Mens,2161,67.5,-5.8,770-1845,.417,24.1,277-773,.358,8.7,344-518,.664,10.8,9521,15-635,0.9,10.2,Shane Burcar,,
2022,"9-23, 5-15",Mens,2161,67.5,-5.8,770-1845,.417,24.1,277-773,.358,8.7,344-518,.664,10.8,9521,15-635,0.9,10.2,Loree Payne,,
2021,"6-16, 4-10",Mens,1390,63.2,-11.3,505-1197,.422,23.0,139-397,.350,6.3,241-364,.662,11.0,0,8-0,0.9,12.5,Shane Burcar,,
2021,"6-16, 4-10",Mens,1390,63.2,-11.3,505-1197,.422,23.0,139-397,.350,6.3,241-364,.662,11.0,0,8-0,0.9,12.5,Loree Payne,,
2020,"16-14, 10-10",Mens,2128,70.9,1.5,770-1729,.445,25.7,216-600,.360,7.2,372-531,.701,12.4,10215,15-681,1.2,14.6,,Shane Burcar,
2020,"16-14, 10-10",Mens,2128,70.9,1.5,770-1729,.445,25.7,216-600,.360,7.2,372-531,.701,12.4,10215,15-681,1.2,14.6,Loree Payne,,
2019,"10-21, 8-12",Mens,2262,73.0,-4.5,785-1819,.432,25.3,259-749,.346,8.4,433-614,.705,14.0,12908,"12-1,076",1.0,12.3,,,Jack Murphy
2019,"10-21, 8-12",Mens,2262,73.0,-4.5,785-1819,.432,25.3,259-749,.346,8.4,433-614,.705,14.0,12908,"12-1,076",1.0,12.3,Loree Payne,,
2018,"5-27, 2-16",Mens,2100,65.6,-12.9,698-1750,.399,21.8,178-584,.305,5.6,526-750,.701,16.4,7476,12-623,0.6,13.1,,,Jack Murphy
2018,"5-27, 2-16",Mens,2100,65.6,-12.9,698-1750,.399,21.8,178-584,.305,5.6,526-750,.701,16.4,7476,12-623,0.6,13.1,Loree Payne,,
2017,"9-23, 6-12",Mens,2218,69.3,-6.8,769-1892,.406,24.0,239-746,.320,7.5,441-645,.684,13.8,12602,"12-1,050",0.9,12.6,,,Jack Murphy
2016,"5-25, 3-15",Mens,2054,68.5,-12.8,699-1747,.400,23.3,220-650,.338,7.3,436-619,.704,14.5,14823,"12-1,235",1.0,14.4,,,Jack Murphy
2024,"22-8, 14-3",Womens,2285,76.2,5.9,825-1948,.424,27.5,236-683,.346,7.9,399-512,.779,13.3,6474,13-498,1.2,16.9,Shane Burcar,,
2024,"22-8, 14-3",Womens,2285,76.2,5.9,825-1948,.424,27.5,236-683,.346,7.9,399-512,.779,13.3,6474,13-498,1.2,16.9,Loree Payne,,
2023,"21-14, 13-5",Womens,2615,74.7,3.4,952-2332,.408,27.2,279-872,.320,8.0,432-602,.718,12.3,4601,12-383,1.0,16.2,Shane Burcar,,
2023,"21-14, 13-5",Womens,2615,74.7,3.4,952-2332,.408,27.2,279-872,.320,8.0,432-602,.718,12.3,4601,12-383,1.0,16.2,Loree Payne,,
